,description,url
0,O‘zbekiston Respublikasi Prezidentining rasmiy veb-sayti,www.president.uz
1,O‘zbekiston Respublikasi Oliy Majlisining Qonunchilik palatasi,www.parliament.gov.uz
2,O‘zbekiston Respublikasi Oliy Majlisining Senati,www.senat.uz
3,O‘zbekiston Respublikasining Hukumati,www.gov.uz
4,O‘zbekiston Respublikasining Konstitutsiyaviy sudi,www.ksu.uz
5,O‘zbekiston Respublikasi Oliy sudi,www.supcourt.gov.uz
6,O‘zbekiston Respublikasi Bosh prokuraturasi,www.prokuratura.uz
7,O‘zbekiston Respublikasi Markaziy saylov komissiyasi,www.election.uz
8,O‘zbekiston Respublikasi Markaziy banki,www.cbu.uz
9,O‘zbekiston Respublikasi Hisob palatasi,www.ach.gov.uz
10,O‘zbekiston Respublikasi Kambag‘allikni qisqartirish va bandlik vazirligi,www.mehnat.uz
11,O‘zbekiston Respublikasi Iqtisodiyot va moliya vazirligi,www.mf.uz
12,"O‘zbekiston Respublikasi Oliy ta’lim, fan va innovatsiyalar vazirligi",www.edu.uz
13,O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi,www.ssv.uz
14,O‘zbekiston Respublikasi Ichki ishlar vazirligi,www.iiv.uz
15,O‘zbekiston Respublikasi Mudofaa vazirligi,www.mudofaa.uz
16,O‘zbekiston Respublikasi Favqulodda vaziyatlar vazirligi,www.fvv.uz
17,O‘zbekiston Respublikasi Tashqi ishlar vazirligi,www.mfa.uz
18,"O‘zbekiston Respublikasi Investitsiyalar, sanoat va savdo vazirligi",www.miit.uz
19,O‘zbekiston Respublikasi Raqamli texnologiyalar vazirligi,www.mitc.uz
20,O‘zbekiston Respublikasi Adliya vazirligi,www.adliya.uz
21,O‘zbekiston Respublikasi Madaniyat va turizm vazirligi,www.madaniyat.uz
22,O‘zbekiston Respublikasi Qurilish va uy-joy kommunal xo‘jaligi vazirligi,www.mc.uz
23,O‘zbekiston Respublikasi Yoshlar siyosati va sport vazirligi,www.minsport.uz
24,O‘zbekiston Respublikasi Maktabgacha va maktab ta’lim vazirligi,www.uzedu.uz
25,O‘zbekiston Respublikasi Transport vazirligi,www.mintrans.uz
26,O‘zbekiston Respublikasi Suv xo‘jaligi vazirligi,www.water.gov.uz
27,O‘zbekiston Respublikasi Qishloq xo‘jaligi vazirligi,www.agro.uz
28,O‘zbekiston Respublikasi Energetika vazirligi,www.minenergy.uz
29,O‘zbekiston Respublikasi Tog‘-kon sanoati va geologiya vazirligi,www.uzgeolcom.uz
30,O‘zbekiston Respublikasi Tabiat resurslari vazirligi,www.uznature.uz
31,O‘zbekiston Respublikasi Davlat statistika qo‘mitasi,www.stat.uz
32,O‘zbekiston Respublikasi Davlat soliq qo‘mitasi,www.soliq.uz
33,O‘zbekiston Respublikasi Davlat bojxona qo‘mitasi,www.customs.uz
34,O‘zbekiston Respublikasi Ekologiya va atrof-muhitni muhofaza qilish davlat qo‘mitasi,www.eco.gov.uz
35,O‘zbekiston Respublikasi O‘rmon xo‘jaligi davlat qo‘mitasi,www.urmon.uz
36,O‘zbekiston Respublikasi Davlat geologiya va mineral resurslar qo‘mitasi,www.uzgeolcom.uz
37,"O‘zbekiston Respublikasi Yer resurslari, geodeziya, kartografiya va davlat kadastri davlat qo‘mitasi",www.ygk.uz
38,O‘zbekiston Respublikasi Veterenariya va chorvachilikni rivojlantirish davlat qo‘mitasi,www.vetgov.uz
39,O‘zbekiston Respublikasi Avtomobil yo‘llari davlat qo‘mitasi,www.uzavtoyul.uz
40,O‘zbekiston Respublikasi Turizmni rivojlantirish davlat qo‘mitasi,www.uzbektourism.uz
41,O‘zbekiston Respublikasi Investitsiyalar bo‘yicha davlat qo‘mitasi,www.invest.gov.uz
42,O‘zbekiston Respublikasi Favqulodda vaziyatlar vazirligi huzuridagi Katta va alohida muhim suv xo‘jaligi ob’ektlarining texnik holatini hamda bexatar ishlashini nazorat qilish davlat inspektsiyasi,www.v-nadzor.gov.uz
43,O‘zdavenergonazorat,www.energonazorat.uz
44,O‘zneftegazinspektsiya,www.uzngi.uz
45,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Ichimlik suvdan foydalanishni nazorat qilish davlat inspektsiyasi (Davsuvinspektsiya),www.davsuvinspeksiya.uz
46,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Ta’lim sifatini nazorat qilish davlat inspektsiyasi,www.tdi.uz
47,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi O‘simliklar karantini davlat inspektsiyasi,www.karantin.uz
48,O‘zbekiston Respublikasi parvozlarning xavfsizligini nazorat qilish Davlat inspektsiyasi (Davavianazorat),www.uzcaa.uz
49,O‘zbekiston Respublikasi Temir yo‘llarda yuk va yo‘lovchilar tashish xavfsizligini nazorat qilish davlat inspektsiyasi (O‘zdavtemiryo‘lnazorat),www.rwnadzor.uz
50,"O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Yer qarini geologik o‘rganish, sanoatda, konchilikda va kommunal-maishiy sektorda ishlarning bexatar olib borilishini nazorat qilish davlat inspektsiyasi (Sanoatgeokontexnazorat)",www.sgktn.uz
51,"O‘zbekiston standartlashtirish, metrologiya va sertifikatlashtirish agentligi",www.standart.uz
52,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi «O‘zarxiv» agentligi,www.archive.uz
53,«O‘zbekkino» milliy agentligi,www.uzbekkino.uz
54,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzurida Atom eneregetikasini rivojlantirish agentligi,www.uzatom.uz
55,O‘zbekiston Respublikasi Davlat aktivlarini boshqarish agentligi,www.davaktiv.uz
56,O‘zbekiston Respublikasi Adliya vazirligi huzuridagi Intellektual Mulk agentligi,ima.uz
57,O‘zbekiston Respublikasi Adliya vazirligi huzuridagi Davlat xizmatlari agentligi,www.ima.uz
58,O‘zbekiston Respublikasi Davlat aktivlarini boshqarish agentligi,www.gkk.uz
59,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Davlat zaxiralarini boshqarish qo‘mitasi,www.udz.uz
60,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Din ishlari bo‘yicha qo‘mita,www.religions.uz
61,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Millatlararo munosabatlar va xorijiy mamlakatlar bilan do‘stlik aloqalari qo‘mitasi,www.interkomitet.uz
62,Xotin-qizlar qo‘mitasi,www.wcu.uz
63,O‘zbekiston Respublikasi Favqulodda vaziyatlar vazirligi huzuridagi Gidrometeorologiya xizmati markazi,www.meteo.uz
64,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Narkotik moddalarni nazorat qilish milliy axborot-tahlil markazi,www.ncdc.uz
65,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi «SIFAT» O‘zbekiston paxta tolasini sertifikatlash markazi,www.sifat.uz
66,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Davlat test markazi,www.dtm.uz
67,O‘zbekiston Respublikasi Oliy va o‘rta maxsus ta’lim vazirligining Kasb-hunar ta’limi markazi,www.markaz.uz
68,O‘zbekiston Respublikasi Fanlar akademiyasi,www.academy.uz
69,O‘zbekiston Respublikasi Vazirlar Mahkamasi huzuridagi Oliy attestatsiya komissiyasi,www.oak.uz
70,Qoraqalpog‘iston Respublikasi Vazirlar Kengashi,www.sovminrk.gov.uz
71,Buxoro viloyati hokimligi,www.buxoro.uz
72,Qashqadaryo viloyati hokimligi,www.qashadaryo.uz
73,Namangan viloyat hokimligi,www.namangan.uz
74,Surxondaryo viloyati hokimligi,www.surxondaryo.uz
75,Farg‘ona viloyati hokimligi,www.ferghana.uz
76,Toshkent viloyati hokimligi,www.toshvil.uz
77,Andijon viloyati hokimligi,www.andijan.uz
78,Jizzax viloyati hokimligi,www.jizzax.uz
79,Navoiy viloyati hokimligi,www.navoi.uz
80,Samarqand viloyati hokimligi,www.samarkand.uz
81,Sirdaryo viloyati xokimligi,www.sirdaryo.uz
82,Xorazm viloyati hokimligi,www.xorazm.uz
83,Toshkent shahar hokimligi,www.tashkent.uz
